planning_area,category,model,score
CENTRAL WATER CATCHMENT,community_spaces,2sfca,19.395982461598965
CENTRAL WATER CATCHMENT,community_spaces,cumulative,329.0
CENTRAL WATER CATCHMENT,community_spaces,hansen,52.72652249077579
CENTRAL WATER CATCHMENT,education_institutions,2sfca,28.816444448448756
CENTRAL WATER CATCHMENT,education_institutions,cumulative,69.0
CENTRAL WATER CATCHMENT,education_institutions,hansen,40.42547695298577
CENTRAL WATER CATCHMENT,emergency_services,2sfca,1.3157894736842106
CENTRAL WATER CATCHMENT,emergency_services,cumulative,1.0
CENTRAL WATER CATCHMENT,emergency_services,hansen,1.1720296316226784
CENTRAL WATER CATCHMENT,essential_services,2sfca,39.90531380944626
CENTRAL WATER CATCHMENT,essential_services,cumulative,47.0
CENTRAL WATER CATCHMENT,essential_services,hansen,64.66451722912393
CENTRAL WATER CATCHMENT,transport_services,2sfca,79.28579863802908
CENTRAL WATER CATCHMENT,transport_services,cumulative,183.0
CENTRAL WATER CATCHMENT,transport_services,hansen,188.67759426499086
CHANGI,community_spaces,2sfca,41.30496094319624
CHANGI,community_spaces,cumulative,262.6666666666667
CHANGI,community_spaces,hansen,56.35139294924266
CHANGI,education_institutions,2sfca,28.485743450449334
CHANGI,education_institutions,cumulative,49.666666666666664
CHANGI,education_institutions,hansen,46.38396989248057
CHANGI,emergency_services,2sfca,21.547202797202797
CHANGI,emergency_services,cumulative,3.3333333333333335
CHANGI,emergency_services,hansen,12.019804470453252
CHANGI,essential_services,2sfca,53.443960396901566
CHANGI,essential_services,cumulative,40.333333333333336
CHANGI,essential_services,hansen,57.44095883842197
CHANGI,transport_services,2sfca,128.59220822750237
CHANGI,transport_services,cumulative,148.33333333333334
CHANGI,transport_services,hansen,2695544.567992621
CHANGI BAY,community_spaces,2sfca,2.0
CHANGI BAY,community_spaces,cumulative,6.0
CHANGI BAY,community_spaces,hansen,0.32408788559371454
CHANGI BAY,education_institutions,2sfca,0.0
CHANGI BAY,education_institutions,cumulative,0.0
CHANGI BAY,education_institutions,hansen,0.0
CHANGI BAY,emergency_services,2sfca,0.0
CHANGI BAY,emergency_services,cumulative,0.0
CHANGI BAY,emergency_services,hansen,0.0
CHANGI BAY,essential_services,2sfca,0.0
CHANGI BAY,essential_services,cumulative,0.0
CHANGI BAY,essential_services,hansen,0.0
CHANGI BAY,transport_services,2sfca,34.666666666666664
CHANGI BAY,transport_services,cumulative,5.0
CHANGI BAY,transport_services,hansen,40.89184869600123
CHOA CHU KANG,community_spaces,2sfca,24.434191680282158
CHOA CHU KANG,community_spaces,cumulative,506.8333333333333
CHOA CHU KANG,community_spaces,hansen,334265.51440057985
CHOA CHU KANG,education_institutions,2sfca,71.98850293470308
CHOA CHU KANG,education_institutions,cumulative,184.66666666666666
CHOA CHU KANG,education_institutions,hansen,4153.470995299306
CHOA CHU KANG,emergency_services,2sfca,5.696778711484593
CHOA CHU KANG,emergency_services,cumulative,3.6666666666666665
CHOA CHU KANG,emergency_services,hansen,770.7689202535212
CHOA CHU KANG,essential_services,2sfca,111.66069740932534
CHOA CHU KANG,essential_services,cumulative,141.83333333333334
CHOA CHU KANG,essential_services,hansen,7542.884555333166
CHOA CHU KANG,transport_services,2sfca,157.66420143780638
CHOA CHU KANG,transport_services,cumulative,378.8333333333333
CHOA CHU KANG,transport_services,hansen,1341613.8472610472
CLEMENTI,community_spaces,2sfca,21.79916944056548
CLEMENTI,community_spaces,cumulative,483.77777777777777
CLEMENTI,community_spaces,hansen,376.62201616147945
CLEMENTI,education_institutions,2sfca,49.73153512746713
CLEMENTI,education_institutions,cumulative,157.55555555555554
CLEMENTI,education_institutions,hansen,891162.2912407084
CLEMENTI,emergency_services,2sfca,4.659780546333238
CLEMENTI,emergency_services,cumulative,4.444444444444445
CLEMENTI,emergency_services,hansen,55.87635780118091
CLEMENTI,essential_services,2sfca,79.41642935165154
CLEMENTI,essential_services,cumulative,128.22222222222223
CLEMENTI,essential_services,hansen,1782484.2392657914
CLEMENTI,transport_services,2sfca,143.87355274289504
CLEMENTI,transport_services,cumulative,439.0
CLEMENTI,transport_services,hansen,1778993.4017606466
DOWNTOWN CORE,community_spaces,2sfca,10.952568683209249
DOWNTOWN CORE,community_spaces,cumulative,699.3846153846154
DOWNTOWN CORE,community_spaces,hansen,154735.4291499399
DOWNTOWN CORE,education_institutions,2sfca,25.75100170341141
DOWNTOWN CORE,education_institutions,cumulative,207.15384615384616
DOWNTOWN CORE,education_institutions,hansen,616298.0484126962
DOWNTOWN CORE,emergency_services,2sfca,3.08707965149189
DOWNTOWN CORE,emergency_services,cumulative,7.076923076923077
DOWNTOWN CORE,emergency_services,hansen,52.290834246836006
DOWNTOWN CORE,essential_services,2sfca,50.78298595048758
DOWNTOWN CORE,essential_services,cumulative,208.0
DOWNTOWN CORE,essential_services,hansen,1232312.584094857
DOWNTOWN CORE,transport_services,2sfca,76.4050494628835
DOWNTOWN CORE,transport_services,cumulative,632.1538461538462
DOWNTOWN CORE,transport_services,hansen,642977.1449115622
GEYLANG,community_spaces,2sfca,31.33277546962497
GEYLANG,community_spaces,cumulative,964.4
GEYLANG,community_spaces,hansen,201599.35231438768
GEYLANG,education_institutions,2sfca,90.34392337377487
GEYLANG,education_institutions,cumulative,327.8
GEYLANG,education_institutions,hansen,736.5754619854044
GEYLANG,emergency_services,2sfca,5.770026347677087
GEYLANG,emergency_services,cumulative,7.4
GEYLANG,emergency_services,hansen,113.97352770179153
GEYLANG,essential_services,2sfca,156.7402217757489
GEYLANG,essential_services,cumulative,302.0
GEYLANG,essential_services,hansen,1199.0880115264933
GEYLANG,transport_services,2sfca,186.2389363844412
GEYLANG,transport_services,cumulative,736.0
GEYLANG,transport_services,hansen,3202303.5260422016
HOUGANG,community_spaces,2sfca,18.116574895749423
HOUGANG,community_spaces,cumulative,546.1
HOUGANG,community_spaces,hansen,100247.29239274099
HOUGANG,education_institutions,2sfca,83.9902145304599
HOUGANG,education_institutions,cumulative,303.5
HOUGANG,education_institutions,hansen,813255.1382778066
HOUGANG,emergency_services,2sfca,2.387575329715404
HOUGANG,emergency_services,cumulative,2.7
HOUGANG,emergency_services,hansen,14.03858300795387
HOUGANG,essential_services,2sfca,140.26154974736542
HOUGANG,essential_services,cumulative,255.9
HOUGANG,essential_services,hansen,3230967.3257599683
HOUGANG,transport_services,2sfca,161.93724305490917
HOUGANG,transport_services,cumulative,605.8
HOUGANG,transport_services,hansen,802002.8975942162
JURONG EAST,community_spaces,2sfca,17.479510116969102
JURONG EAST,community_spaces,cumulative,413.90909090909093
JURONG EAST,community_spaces,hansen,3181914.646422277
JURONG EAST,education_institutions,2sfca,48.01649028000813
JURONG EAST,education_institutions,cumulative,145.8181818181818
JURONG EAST,education_institutions,hansen,25758.174588237274
JURONG EAST,emergency_services,2sfca,3.1034121063007634
JURONG EAST,emergency_services,cumulative,2.909090909090909
JURONG EAST,emergency_services,hansen,319.11556876153065
JURONG EAST,essential_services,2sfca,82.63988960360938
JURONG EAST,essential_services,cumulative,124.45454545454545
JURONG EAST,essential_services,hansen,52296.50120642614
JURONG EAST,transport_services,2sfca,120.71405045309733
JURONG EAST,transport_services,cumulative,360.09090909090907
JURONG EAST,transport_services,hansen,17407.56842773867
JURONG WEST,community_spaces,2sfca,15.951137124402265
JURONG WEST,community_spaces,cumulative,333.3333333333333
JURONG WEST,community_spaces,hansen,301.0677944785214
JURONG WEST,education_institutions,2sfca,60.59236321960176
JURONG WEST,education_institutions,cumulative,153.66666666666666
JURONG WEST,education_institutions,hansen,904.3396850773755
JURONG WEST,emergency_services,2sfca,4.392492464180304
JURONG WEST,emergency_services,cumulative,3.4444444444444446
JURONG WEST,emergency_services,hansen,61.48814849050075
JURONG WEST,essential_services,2sfca,88.86008031353516
JURONG WEST,essential_services,cumulative,116.0
JURONG WEST,essential_services,hansen,1527.860888307458
JURONG WEST,transport_services,2sfca,205.93176712416226
JURONG WEST,transport_services,cumulative,458.77777777777777
JURONG WEST,transport_services,hansen,894116.6671330711
KALLANG,community_spaces,2sfca,18.37287623698528
KALLANG,community_spaces,cumulative,921.7777777777778
KALLANG,community_spaces,hansen,3630.9014266929653
KALLANG,education_institutions,2sfca,47.102115585357716
KALLANG,education_institutions,cumulative,272.6666666666667
KALLANG,education_institutions,hansen,1779440.936386335
KALLANG,emergency_services,2sfca,3.7542815053897933
KALLANG,emergency_services,cumulative,7.111111111111111
KALLANG,emergency_services,hansen,33.989259837144886
KALLANG,essential_services,2sfca,93.38507161775375
KALLANG,essential_services,cumulative,275.44444444444446
KALLANG,essential_services,hansen,8893303.804415273
KALLANG,transport_services,2sfca,112.17685834081738
KALLANG,transport_services,cumulative,711.5555555555555
KALLANG,transport_services,hansen,2670365.6793909785
LIM CHU KANG,community_spaces,2sfca,8.333333333333332
LIM CHU KANG,community_spaces,cumulative,25.0
LIM CHU KANG,community_spaces,hansen,3.1095108211990734
LIM CHU KANG,education_institutions,2sfca,0.0
LIM CHU KANG,education_institutions,cumulative,0.0
LIM CHU KANG,education_institutions,hansen,0.0
LIM CHU KANG,emergency_services,2sfca,0.0
