amenity_id,nearest_first_road_id,nearest_first_road_name,nearest_second_road_id,nearest_second_road_name,nearest_third_road_id,nearest_third_road_name,nearest_fourth_road_id,nearest_fourth_road_name
118f42ac-2621-59d5-8519-c9ec62970605,1763,JELEBU ROAD,3136,SENJA WAY,2135,LOMPANG ROAD,1010,GALISTAN AVENUE
01495019-fd5d-5412-88c5-c786fdcb1a98,1252,HOUGANG STREET 92,1241,HOUGANG AVENUE 9,1253,HOUGANG STREET 93,1251,HOUGANG STREET 91
7d824983-90e8-5e44-a902-8e3364db304d,2919,PUNGGOL DRIVE,2925,PUNGGOL PORT ROAD,2928,PUNGGOL ROAD - TRACK 13,2927,PUNGGOL ROAD - TRACK 1
ad66209c-2568-5beb-a940-7c28e2c5939b,3131,SENGKANG WEST AVENUE,949,FERNVALE ROAD,947,FERNVALE LANE,3133,SENGKANG WEST WAY
d54863e9-8d33-5d47-87a6-3028e32dd148,3155,SERANGOON AVENUE 2,3156,SERANGOON AVENUE 3,3159,SERANGOON CENTRAL DRIVE,3163,SERANGOON LINK
045076b1-fb01-501a-b9e6-1bfc501bb591,1830,JURONG WEST STREET 42,1816,JURONG WEST AVENUE 1,1832,JURONG WEST STREET 52,1811,JURONG ROAD
c3f2c5de-bc28-5938-a7ad-9763045710d9,4035,WOODLANDS DRIVE 52,4036,WOODLANDS DRIVE 53,4065,WOODLANDS RING ROAD,4031,WOODLANDS DRIVE 42
4f2152f1-52b0-5fce-9920-eba4810b1aeb,589,CHOA CHU KANG WALK,568,CHOA CHU KANG AVENUE 4,576,CHOA CHU KANG LOOP,567,CHOA CHU KANG AVENUE 3
62237dcb-22ac-532c-862f-407ad05f0a58,1791,JURONG EAST AVENUE 1,1798,JURONG EAST STREET 24,1800,JURONG EAST STREET 32,1792,JURONG EAST CENTRAL
04240ca3-3147-5521-93fb-db9593b08218,2401,MARINE TERRACE,2400,MARINE PARADE ROAD,1721,JALAN TENGGIRI,2397,MARINE CRESCENT
f30bc801-ba4d-53f0-966a-beb037991e6c,2440,MAYFLOWER AVENUE,2445,MAYFLOWER RISE,2441,MAYFLOWER CRESCENT,2447,MAYFLOWER TERRACE
daeb3990-0302-5a25-ac1f-ba9529fc968c,4116,YISHUN CENTRAL SERVICE ROAD,4122,YISHUN STREET 21,4112,YISHUN AVENUE 9,4113,YISHUN CENTRAL
3d62d96f-bccd-5fac-bb79-dde9e03808f5,775,DEPOT WALK,773,DEPOT LANE,3628,TELOK BLANGAH GREEN,368,BUKIT MERAH CENTRAL
701aa44f-1288-5ae8-ae5b-6063405c9249,3627,TELOK BLANGAH DRIVE,3633,TELOK BLANGAH STREET 32,3632,TELOK BLANGAH STREET 31,3629,TELOK BLANGAH HEIGHTS
4bbead1b-9f97-5d22-a7f1-9e74c794d3ee,2207,LORONG 8A TOA PAYOH,302,BRADDELL ROAD,2206,LORONG 8 TOA PAYOH,2204,LORONG 7 TOA PAYOH
c77cc9cd-be80-53fb-bb2a-1d1446946bd5,1525,JALAN MA'MOR,1309,JALAN BAHAGIA,1723,JALAN TENTERAM,3976,WHAMPOA ROAD
fffdfda0-caa3-55b0-acab-259d1a002ddd,631,CLEMENTI AVENUE 4,632,CLEMENTI AVENUE 5,630,CLEMENTI AVENUE 3,1511,JALAN LEMPENG
219e57b0-a744-575b-a7d5-545f1cbc6a41,175,BEDOK CENTRAL,2616,NEW UPPER CHANGI ROAD,205,BEDOK SOUTH AVENUE 2,188,BEDOK NORTH STREET 1
5cb0c9d1-36cc-5080-8e42-2d10b8aced26,2397,MARINE CRESCENT,825,EAST COAST PARKWAY,2400,MARINE PARADE ROAD,1624,JALAN RENDANG
ac2e0d77-1fe3-559c-86d6-ce2593c97000,1242,HOUGANG CENTRAL,1240,HOUGANG AVENUE 8,1236,HOUGANG AVENUE 4,2203,LORONG 7 REALTY PARK
4b4972aa-1c3d-5bec-b848-f358dcaa43f6,632,CLEMENTI AVENUE 5,631,CLEMENTI AVENUE 4,3419,SUNSET LANE,638,CLEMENTI STREET 11
3b418365-a99d-5b0b-9cd4-e85dc9182887,186,BEDOK NORTH DRIVE,1725,JALAN TERANG BULAN,481,CHAI CHEE AVENUE,1339,JALAN BINTANG TIGA
59052549-366e-5de5-a743-66ae29580539,3167,SERANGOON NORTH AVENUE 4,2262,LORONG NAPIRI,3168,SERANGOON NORTH AVENUE 5,3165,SERANGOON NORTH AVENUE 2
4186ae9b-d229-54ae-b050-cc6eb0dd8206,3110,SEMBAWANG CLOSE,3118,SEMBAWANG WAY,7,ADMIRALTY DRIVE,3108,SEMBAWANG ALLEY
8cd862da-4c2e-562c-b6f1-6c585543a4a3,3543,TAMPINES STREET 11,3544,TAMPINES STREET 12,3546,TAMPINES STREET 22,3510,TAMPINES AVENUE 2
eaeeda2a-7e46-5412-b705-deeb8dad6138,3164,SERANGOON NORTH AVENUE 1,2086,LICHFIELD ROAD,2985,RIPLEY CRESCENT,3915,WALMER DRIVE
99075c2d-3d07-52f3-aebc-990f48a3f7d1,484,CHAI CHEE ROAD,481,CHAI CHEE AVENUE,485,CHAI CHEE STREET,1725,JALAN TERANG BULAN
7bbde101-9ffc-514b-af9e-13312b7bece3,589,CHOA CHU KANG WALK,568,CHOA CHU KANG AVENUE 4,567,CHOA CHU KANG AVENUE 3,566,CHOA CHU KANG AVENUE 2
8f5a336e-27c9-5866-8ed0-0a3991845776,670,COMMONWEALTH LINK,667,COMMONWEALTH CRESCENT,666,COMMONWEALTH CLOSE,669,COMMONWEALTH LANE
b9f24dc0-3427-5667-8995-d970ace974cc,4072,WOODLANDS STREET 31,4074,WOODLANDS STREET 41,4014,WOODLANDS AVENUE 3,4069,WOODLANDS STREET 11
20ce0585-2d51-5d01-a0c8-36b4b9adc505,1959,KIM KEAT AVENUE,3686,TOA PAYOH EAST,1962,KIM KEAT LINK,1525,JALAN MA'MOR
d3a89f21-762a-5d6e-b63e-5eb1d531f8b5,673,COMPASSVALE DRIVE,3124,SENGKANG EAST AVENUE,675,COMPASSVALE LINK,674,COMPASSVALE LANE
693f250e-59b6-5a46-880d-374010206611,310,BRIGHT HILL DRIVE,1356,JALAN CHERAH,309,BRIGHT HILL CRESCENT,2275,LORONG PUNTONG
6989fcab-6517-50bb-9229-9d92f2b52e35,4028,WOODLANDS DRIVE 16,4033,WOODLANDS DRIVE 44,4036,WOODLANDS DRIVE 53,4032,WOODLANDS DRIVE 43
53167f3d-31d6-5c0e-83b4-e1df9070cc7f,97,ANG MO KIO STREET 54,67,ANG MO KIO AVENUE 3,95,ANG MO KIO STREET 52,94,ANG MO KIO STREET 51
c7e30e41-ff87-56ee-bb39-4b007cff043a,4033,WOODLANDS DRIVE 44,4032,WOODLANDS DRIVE 43,4036,WOODLANDS DRIVE 53,4028,WOODLANDS DRIVE 16
39ec2949-6b56-56e6-9c83-6ce012a9ecbd,1959,KIM KEAT AVENUE,3686,TOA PAYOH EAST,1962,KIM KEAT LINK,2204,LORONG 7 TOA PAYOH
9c72d8c1-60c8-557a-b749-6c5404cac1f4,3620,TECK WHYE CRESCENT,3327,STAGMONT ROAD,3619,TECK WHYE AVENUE,3622,TECK WHYE WALK
13e641c4-814f-5151-a305-af36c869de19,1791,JURONG EAST AVENUE 1,1798,JURONG EAST STREET 24,1800,JURONG EAST STREET 32,1799,JURONG EAST STREET 31
ac676004-7b87-57aa-a858-f84310a324ab,233,BEO CRESCENT,3681,TIONG BAHRU ROAD,768,DELTA ROAD,366,BUKIT HO SWEE CRESCENT
a1efd825-9686-5133-9534-7ef51fca6cc4,3634,TELOK BLANGAH WAY,3626,TELOK BLANGAH CRESCENT,1170,HENDERSON ROAD,382,BUKIT TERESA CLOSE
30d355c1-f982-5caf-9fae-67707b946fce,2995,RIVERVALE DRIVE,3357,STREET. ANNE'S WOOD,2998,RIVERVALE STREET,2994,RIVERVALE CRESCENT
fd2a6927-06fd-5ff8-9cc0-6d6a359843a4,2920,PUNGGOL EAST,3613,TEBING LANE,2922,PUNGGOL FIELD WALK,841,EDGEDALE PLAINS
1eb0c6b5-7faa-589f-8f0d-2dcb461fcc1d,3131,SENGKANG WEST AVENUE,949,FERNVALE ROAD,947,FERNVALE LANE,3133,SENGKANG WEST WAY
355e9987-b8d7-5e9c-9bfe-daa0d9211c4b,3177,SERENADE WALK,4099,YIO CHU KANG GARDENS,3665,THOMSON CLOSE,4098,YIO CHU KANG DRIVE
a7d2135c-89f6-5535-aeaa-7cedb8a3507f,3939,WELLINGTON CIRCLE,433,CANBERRA ROAD,3112,SEMBAWANG DRIVE,7,ADMIRALTY DRIVE
c1340117-2cb6-5ebb-b3c5-fcb5111a32da,3134,SENJA LINK,3135,SENJA ROAD,1762,JELAPANG ROAD,3136,SENJA WAY
321bb796-d4cb-59ad-b92f-82396f94ff4b,2783,PASIR RIS WALK,2760,PASIR RIS DRIVE 4,2775,PASIR RIS STREET 41,2774,PASIR RIS STREET 21
20a420f8-b211-5a37-b9e9-7f375cab2cdd,2922,PUNGGOL FIELD WALK,841,EDGEDALE PLAINS,2920,PUNGGOL EAST,3613,TEBING LANE
53e63b54-77eb-5473-9421-5a5f59c3a1ba,57,ANCHORVALE WALK,3126,SENGKANG EAST ROAD,54,ANCHORVALE LINK,52,ANCHORVALE DRIVE
055f8daf-5247-5ccc-b0a2-373661e8c26c,3611,TEBAN GARDENS CRESCENT,3612,TEBAN GARDENS ROAD,2834,PENJURU WALK,2715,PANDAN GARDENS
75875767-dbf9-5373-a41a-31749503ca77,3092,SELETAR HILLS DRIVE,3087,SELETAR CRESCENT,947,FERNVALE LANE,1357,JALAN CHERMAI
6e3e1a95-5441-5635-9acf-ac2bfe70dfa4,4035,WOODLANDS DRIVE 52,4065,WOODLANDS RING ROAD,4036,WOODLANDS DRIVE 53,4042,WOODLANDS DRIVE 65
