id,text,event_date,location,event,start_loc,end_loc,parent_road,cleaned_location,start_lat,start_lng,start_postal_code,end_lat,end_lng,end_postal_code,start_planning_area,start_planning_area_id,start_subzone,start_subzone_id,start_street_name,start_street_id,end_planning_area,end_planning_area_id,end_subzone,end_subzone_id,end_street_name,end_street_id
18,,4/10/2014,LORONG BUANGKOK,flash_flood,,,,,1.383418,103.877972,805910,,,,HOUGANG,000011,TRAFALGAR,000243,LORONG BUANG KOK,007439,,,,,,
19,,31/10/2014,45061 (BUS STOP),flash_flood,,,,,1.407181,103.756063,729678,,,,SUNGEI KADUT,000028,GALI BATU,000277,WOODLANDS ROAD,047384,,,,,,
20,,6/11/2014,58161 (BUS STOP),flash_flood,,,,,1.460528,103.820374,757443,,,,SEMBAWANG,000019,THE WHARVES,000296,ADMIRALTY ROAD WEST,005998,,,,,,
21,,8/11/2014,42241 (BUS STOP),flash_flood,,,,,1.337118,103.767085,598112,,,,BUKIT TIMAH,000006,ANAK BUKIT,000152,LORONG KISMIS,031231,,,,,,
22,,8/11/2014,40099 (BUS STOP),flash_flood,,,,,1.321852,103.82344,259372,,,,NOVENA,000025,DUNEARN,000150,DUNEARN ROAD,026209,,,,,,
23,,13/11/2014,YISHUN MRT,flash_flood,,,,,1.429525,103.834995,769093,,,,YISHUN,000055,YISHUN WEST,000316,YISHUN AVENUE 2,008540,,,,,,
24,,13/11/2014,SEMBAWANG SHOPPING CENTRE,flash_flood,,,,,1.441853,103.82497,758459,,,,SEMBAWANG,000019,SEMBAWANG SPRINGS,000323,JALAN JERUJU,030141,,,,,,
25,,13/11/2014,TAN HENG LEE BUILDING,flash_flood,,,,,1.332819,103.884451,369610,,,,TOA PAYOH,000029,JOO SENG,000192,HARVEY ROAD,031046,,,,,,
26,,13/11/2014,LORONG GAMBIR,flash_flood,,,,,1.345476,103.875567,556140,,,,SERANGOON,000021,UPPER PAYA LEBAR,000201,LORONG GAMBIR,052349,,,,,,
27,,13/11/2014,LORONG ONG LYE,flash_flood,,,,,1.347784,103.879043,534965,,,,SERANGOON,000021,UPPER PAYA LEBAR,000201,LORONG ONG LYE,029917,,,,,,
28,,17/11/2014,LORONG GAMBIR,flash_flood,,,,,1.345476,103.875567,556140,,,,SERANGOON,000021,UPPER PAYA LEBAR,000201,LORONG GAMBIR,052349,,,,,,
29,,17/11/2014,LORONG ONG LYE,flash_flood,,,,,1.347784,103.879043,534965,,,,SERANGOON,000021,UPPER PAYA LEBAR,000201,LORONG ONG LYE,029917,,,,,,
30,,17/11/2014,63139 (BUS STOP),flash_flood,,,,,1.361202,103.891412,532373,,,,HOUGANG,000011,LORONG AH SOO,000186,TAMPINES ROAD,013554,,,,,,
31,,17/11/2014,HOUGANG AVE 1,flash_flood,,,,,1.353703,103.890681,530106,,,,HOUGANG,000011,LORONG AH SOO,000186,HOUGANG AVENUE 3,001351,,,,,,
32,,17/11/2014,MACPHERSON ROAD,flash_flood,,,,,1.328704,103.872121,348741,,,,GEYLANG,000053,KALLANG WAY,000145,MACPHERSON ROAD,013343,,,,,,
33,,26/11/2014,16 SUNSET DRIVE,flash_flood,,,,,1.325782,103.766715,597092,,,,CLEMENTI,000010,SUNSET WAY,000151,SUNSET SQUARE,051843,,,,,,
34,,17/12/2014,11429 (BUS STOP),flash_flood,,,,,1.30454,103.798363,149597,,,,QUEENSTOWN,000017,COMMONWEALTH,000053,COMMONWEALTH DRIVE,015506,,,,,,
35,,17/12/2014,ENTERPRISE ROAD,flash_flood,,,,,1.333312,103.705117,629840,,,,JURONG WEST,000013,KIAN TECK,000105,ENTERPRISE ROAD,048492,,,,,,
36,,24/12/2014,NATIONAL SHOOTING CENTRE,flash_flood,,,,,1.372792,103.682976,698910,,,,WESTERN WATER CATCHMENT,000032,MURAI,000307,OLD CHOA CHU KANG ROAD,036424,,,,,,
37,,24/4/2015,LORNIE VIADUCT,flash_flood,,,,,1.344614,103.8435,579847,,,,BISHAN,000051,MARYMOUNT,000331,BRADDELL ROAD,018202,,,,,,
38,,3/5/2015,NATIONAL SHOOTING CENTRE,flash_flood,,,,,1.372792,103.682976,698910,,,,WESTERN WATER CATCHMENT,000032,MURAI,000307,OLD CHOA CHU KANG ROAD,036424,,,,,,
39,,8/6/2015,CHIN BEE AVE,flash_flood,,,,,1.333502,103.712787,619941,,,,JURONG WEST,000013,CHIN BEE,000193,CHIN BEE AVENUE,003842,,,,,,
40,,8/6/2015,21229 (BUS STOP),flash_flood,,,,,1.342064,103.71602,648923,,,,JURONG WEST,000013,TAMAN JURONG,000208,CORPORATION ROAD,006366,,,,,,
41,,11/8/2015,NANYANG TECHNOLOGICAL UNIVERSITY NORTH SPINE,flash_flood,,,,,1.346176,103.682049,639798,,,,WESTERN WATER CATCHMENT,000032,MURAI,000307,NANYANG AVENUE,042662,,,,,,
42,,12/8/2015,TAMPINES STREET 32,flash_flood,,,,,1.353779,103.957994,520384,,,,TAMPINES,000047,TAMPINES EAST,000185,TAMPINES STREET 32,001162,,,,,,
43,,9/9/2015,JURONG WEST STREET 51,flash_flood,,,,,1.347889,103.720531,640511,,,,JURONG WEST,000013,HONG KAH,000261,JURONG WEST STREET 51,038257,,,,,,
44,,2/12/2015,12111 (BUS STOP),flash_flood,,,,,1.319118,103.77223,120343,,,,BUKIT TIMAH,000006,ULU PANDAN,000132,ULU PANDAN ROAD,046009,,,,,,
45,,5/12/2015,LORONG BUANGKOK,flash_flood,,,,,1.383418,103.877972,805910,,,,HOUGANG,000011,TRAFALGAR,000243,LORONG BUANG KOK,007439,,,,,,
46,,5/12/2015,CHURCH OF ST VINCENT DE PAUL,flash_flood,,,,,1.382224,103.876411,805910,,,,SERANGOON,000021,SELETAR HILLS,000249,JALAN RESAK,032652,,,,,,
47,,5/12/2015,ANG MO KIO STREET 31,flash_flood,,,,,1.365873,103.848056,560320,,,,ANG MO KIO,000052,TOWNSVILLE,000330,ANG MO KIO STREET 31,004845,,,,,,
48,,10/12/2015,CHANGI FLYOVER,flash_flood,,,,,1.345806,103.982914,819658,,,,CHANGI,000008,CHANGI AIRPORT,000298,AIRPORT BOULEVARD,038652,,,,,,
49,,10/12/2015,21229 (BUS STOP),flash_flood,,,,,1.342064,103.71602,648923,,,,JURONG WEST,000013,TAMAN JURONG,000208,CORPORATION ROAD,006366,,,,,,
50,,10/12/2015,69 BOON KENG ROAD,flash_flood,,,,,1.317147,103.862497,339772,,,,KALLANG,000022,BENDEMEER,000174,BOON KENG ROAD,035533,,,,,,
51,,10/12/2015,MAXWELL FOOD CENTRE,flash_flood,,,,,1.280331,103.844747,088437,,,,DOWNTOWN CORE,000040,MAXWELL,000040,MAXWELL ROAD,054987,,,,,,
52,,11/12/2015,PEK KIO CC,flash_flood,,,,,1.313059,103.851374,219458,,,,KALLANG,000022,KAMPONG JAVA,000129,GLOUCESTER ROAD,010266,,,,,,
53,,11/12/2015,BALESTIER POINT,flash_flood,,,,,1.322812,103.852026,329735,,,,NOVENA,000025,BALESTIER,000175,BALESTIER ROAD,029598,,,,,,
54,,11/12/2015,50199 (BUS STOP),flash_flood,,,,,1.324968,103.850509,308231,,,,NOVENA,000025,BALESTIER,000175,BALESTIER ROAD,037632,,,,,,
55,,11/12/2015,69 BOON KENG ROAD,flash_flood,,,,,1.317147,103.862497,339772,,,,KALLANG,000022,BENDEMEER,000174,BOON KENG ROAD,035533,,,,,,
56,,11/12/2015,21229 (BUS STOP),flash_flood,,,,,1.342064,103.71602,648923,,,,JURONG WEST,000013,TAMAN JURONG,000208,CORPORATION ROAD,006366,,,,,,
57,,11/12/2015,NEO PEE TECK LANE,flash_flood,,,,,1.292623,103.769021,118759,,,,QUEENSTOWN,000017,PASIR PANJANG 1,000025,NEO PEE TECK LANE,035704,,,,,,
