amenity_id,amenity_type,planning_area,footfall,is_heartland
22392526-8b5c-539d-ab3b-cb1ee964eef7,bus_stops,ANG MO KIO,6802.1556886227545,True
ea3b80f2-cce4-55fa-9748-b15ae18a8097,bus_stops,MARINE PARADE,18321.93548387097,True
e350430a-3afb-5388-b1f0-053b64b9e7ab,bus_stops,SEMBAWANG,7834.206896551725,True
25318245-8571-5919-a625-96e0f8edd235,bus_stops,KALLANG,10052.743362831858,True
c6db9a96-386b-53c9-b010-6731be4ca2cd,bus_stops,MARINE PARADE,18321.93548387097,True
157cd2c4-cf3e-5be5-8e1e-b826bf865867,bus_stops,CHANGI,148.8505747126437,True
204f503a-98f7-5cc6-8567-689cd164c697,bus_stops,PASIR RIS,78.01204819277109,True
6b2055e4-8b78-5cff-8de1-39f0abe1b687,bus_stops,ORCHARD,719.4444444444443,False
e0fd0fca-06e6-5720-b4fa-449b05b6751e,bus_stops,BUKIT BATOK,7735.734265734266,True
02215089-f189-516e-9043-7363ce3ee0fd,bus_stops,LIM CHU KANG,38145.1724137931,True
00a56622-d162-5cdb-a5e9-2cd3868d9840,bus_stops,QUEENSTOWN,4894.734513274337,True
7c66d229-faee-5af2-94fb-01619054f221,bus_stops,PASIR RIS,6663.915662650603,True
0204e244-cf58-5603-b0fa-3b07b1ac52f2,bus_stops,SEMBAWANG,7629.0344827586205,True
31568a3c-4b60-5c02-9e29-1b85b0a70c21,bus_stops,ORCHARD,61456.11111111112,False
b5dd6039-2ba3-5cda-8c61-7d2562100ed9,bus_stops,TAMPINES,5267.666666666667,True
bcebce19-07c3-5a2e-901c-0c3f9c4a6a9b,bus_stops,JURONG EAST,7845.4609929078015,True
18e1d6ed-4bb8-5267-a079-db2a49a0bd0b,bus_stops,SELETAR,48096.086956521736,True
0fbb2315-d071-5080-8e97-efe0c6fa7610,bus_stops,BUKIT TIMAH,4866.25,True
e6b2f0b2-5527-5cfa-9c36-0ef29ca0cbd1,bus_stops,BUKIT MERAH,5849.447513812154,True
057c32e7-0dca-5acc-9022-c13181007935,bus_stops,ANG MO KIO,6802.1556886227545,True
49f931a0-a150-58e5-9508-090be5e40f15,bus_stops,NOVENA,15146.133333333331,True
fc2260ef-50ef-5101-b1cb-d36be45e164e,bus_stops,SEMBAWANG,7834.206896551725,True
850424c5-f822-58c1-9a50-28e1bd05a8c4,bus_stops,BISHAN,6434.105263157895,True
8db2d82d-c310-5e5a-9d86-6c8a3b0e6413,bus_stops,SERANGOON,4304.507042253521,True
db7653bd-6ba3-51fb-9a46-bac340efe35e,bus_stops,QUEENSTOWN,2704.6017699115046,True
f35febf8-c93a-5f61-a656-ee4227293c34,bus_stops,TUAS,4889.92,True
