amenity_id,nearest_road_1_id,nearest_road_1_name,nearest_road_2_id,nearest_road_2_name,nearest_road_3_id,nearest_road_3_name,nearest_road_4_id,nearest_road_4_name
a0534c3f-da22-4881-b96e-f3b3ee291ac6,048150,JALAN KAKATUA,046639,JALAN RAJAWALI,046532,JALAN RAJAWALI,046616,JALAN LAYANG LAYANG
abab38b8-85bf-44cd-b4e5-7e1cf64cd990,028527,JALAN BUKIT MERAH,030081,JALAN BUKIT MERAH,031579,JALAN BUKIT MERAH,030096,JALAN BUKIT MERAH
06cde49c-ba9e-4997-8999-2445d56ae4cd,010169,ANCHORVALE DRIVE,011859,ANCHORVALE DRIVE,011832,ANCHORVALE DRIVE,011878,ANCHORVALE DRIVE
147a0a97-7e67-4389-8eff-c553a8d456af,021421,CANBERRA ROAD,021422,CANBERRA ROAD,019249,CANBERRA ROAD,018179,CANBERRA ROAD
6494150c-ac58-4072-a397-37cc6e05fc03,033234,PUNGGOL CENTRAL,034360,PUNGGOL CENTRAL,031653,PUNGGOL ROAD,041212,PUNGGOL CENTRAL
70b219be-9354-414c-b87a-79e24581a639,035533,BOON KENG ROAD,035534,BOON KENG ROAD,037978,KEMPAS ROAD,035462,BOON KENG ROAD
f88b4913-5546-471a-b8e9-c72eac707cb2,047623,SERANGOON NORTH AVENUE 1,010940,SERANGOON NORTH AVENUE 1,029755,RIPLEY CRESCENT,024563,RIPLEY CRESCENT
fc41a97c-48d0-484f-9eb9-0c861b937d8c,032106,PAYA LEBAR WALK,032082,PAYA LEBAR WALK,029882,UPPER PAYA LEBAR ROAD,019996,UPPER PAYA LEBAR ROAD
b97eda35-6705-4219-a4e0-022a10cab03f,036608,ALJUNIED CRESCENT,028702,PAN ISLAND EXPRESSWAY,042836,PAN ISLAND EXPRESSWAY,037322,ALJUNIED CRESCENT
626a0ef2-b63e-4bdd-bf62-6590621f1873,050097,LORONG SELANGAT,050101,JALAN LATEH,037535,WOLSKEL ROAD,037534,WOLSKEL ROAD
a555cf79-b7d4-4a7e-bad6-dce8ef833f96,056086,SERANGOON VIADUCT,056223,UPPER SERANGOON ROAD,056270,UPPER SERANGOON ROAD,056272,UPPER SERANGOON ROAD
cf740fe6-0b7b-43c2-8a53-cbe25d23b608,036608,ALJUNIED CRESCENT,028702,PAN ISLAND EXPRESSWAY,042836,PAN ISLAND EXPRESSWAY,037322,ALJUNIED CRESCENT
9fef46ec-c919-4748-9292-b5aecadf6275,044225,TAMPINES STREET 31,043973,PAN ISLAND EXPRESSWAY,044252,TAMPINES STREET 31,044201,PAN ISLAND EXPRESSWAY
a1d9fea0-afe8-4599-84af-eb6af9f3c73b,000219,YISHUN AVENUE 9,042371,YISHUN RING ROAD,069163,YISHUN AVENUE 9,069162,YISHUN AVENUE 9
a63aaa23-5b28-4beb-95f2-3e526e2b6ac3,027667,MERCHANT ROAD,032999,ANGUS STREET,014475,KENG CHEOW STREET,028009,MERCHANT ROAD
6527fe94-35f4-4e69-8016-4eeb8c0c4ee4,028413,MING TECK PARK,045674,HOLLAND ROAD,028383,MING TECK PARK,039181,MARYLAND DRIVE
c8b36e80-9bd7-48f6-a76c-06c04751d5ac,006138,JALAN MAS PUTEH,013156,JALAN MAS PUTEH,006149,JALAN MAS PUTEH,006148,JALAN MAS PUTEH
489dbf67-e161-420a-a47e-ddc876581703,000109,MACPHERSON ROAD,040127,WOODSVILLE TUNNEL,040126,WOODSVILLE TUNNEL,056200,MACPHERSON ROAD
34386876-c5f9-4850-98c8-1091f231df8d,016229,UPPER CHANGI ROAD EAST,038017,UPPER CHANGI ROAD EAST,002105,JALAN PERGAM,002087,JALAN PERGAM
334d99f8-7407-4fe6-8af6-10a41bfd73e9,010929,JALAN KILANG BARAT,010895,JALAN KILANG,010784,JALAN KILANG BARAT,010783,JALAN KILANG
711ac574-8cc0-447d-83bb-28c63e72a84d,054370,FABER HEIGHTS,007724,FABER TERRACE,054415,FABER HEIGHTS,054414,FABER WALK
e6342aca-a1e6-45b9-b096-a912cfcf89a1,019678,WOODLANDS AVENUE 6,012761,WOODLANDS DRIVE 65,019692,WOODLANDS AVENUE 6,018471,WOODLANDS AVENUE 6
f66a5723-7d72-41d8-b695-66984b2e88fb,010310,HIGHLAND ROAD,008929,FLOWER ROAD,039789,HIGHLAND ROAD,008953,FLOWER ROAD
e62cd420-f168-4470-83ca-845210916696,040659,JALAN CHELAGI,040691,JALAN CHELAGI,040692,JALAN CHELAGI,040693,JALAN CHELAGI
e19f1552-55ab-4faa-82f7-09f9f4ece6e3,005716,TAMPINES STREET 21,005541,TAMPINES STREET 21,004562,TAMPINES STREET 21,005544,TAMPINES STREET 21
f5c61762-4ab1-421b-8b37-558bfe1e8383,016004,SERANGOON NORTH AVENUE 4,055676,ANG MO KIO AVENUE 5,016123,SERANGOON NORTH AVENUE 5,016124,SERANGOON NORTH AVENUE 4
