id,amenity_type,amenity_name,postalcode,lat,lon,amenity_category_id,pa_id,sz_id,rn_id
77,fast_food,domino's,560574,1.3706604,103.8564782,9,52,170,17758
78,atm,uob,556083,1.35049,103.87172,4,21,177,34726
79,fast_food,老曾记,556083,1.3510946,103.8721662,9,21,177,30473
80,clinic,ma kuang tcm medical centre,560451,1.3687218,103.8555019,6,52,163,28995
81,atm,uob,790437,1.3923509,103.8764048,4,20,239,18983
82,post_office,sengkang central post office,545025,1.392736,103.8939962,4,20,236,27741
83,restaurant,pizza hut,545909,1.3620555,103.8856381,9,11,162,30733
84,atm,ocbc bank,550241,1.3524843,103.8700923,4,21,177,34076
85,post_office,serangoon central post office,550261,1.3538627,103.8723813,4,21,177,30473
86,atm,uob,550267,1.3534337,103.8710155,4,21,177,37245
87,cafe,starbucks,310490,1.332626,103.8488573,9,29,96,28399
88,post_office,ang mo kio central post office,560727,1.3729457,103.8460766,4,52,110,28927
89,bus_station,smrt,000000,1.387874,103.846096,11,52,252,16384
90,fast_food,texas chicken,530476,1.3773911,103.9034125,9,11,225,41115
91,doctors,medical clinic,530356,1.3727614,103.8989326,6,11,225,28627
92,atm,uob,310109,1.3412261,103.8462721,4,29,210,26190
93,atm,uob,545015,1.3914346,103.8926563,4,20,237,18364
94,atm,uob,829169,1.4045712,103.9066554,4,16,292,39051
95,atm,uob,550153,1.3700496,103.8726821,4,21,164,13370
96,bank,uob,550262,1.3535176,103.8724479,4,21,177,30473
97,atm,uob,550267,1.353427,103.8710169,4,21,177,37245
98,atm,uob,550301,1.3533057,103.8679122,4,21,177,15615
99,atm,uob,820108,1.396551,103.9088329,4,16,240,40192
100,atm,uob,560163,1.373985,103.837774,4,52,111,25706
101,atm,uob,560407,1.3622425,103.8555242,4,52,163,13260
102,atm,uob,560449,1.36785,103.856056,4,52,163,28995
103,atm,uob,554912,1.3760912,103.8720312,4,21,181,34059
104,atm,uob,550253,1.3540772,103.8708075,4,21,177,37245
105,atm,uob,538692,1.3759496,103.8792155,4,11,243,28538
106,atm,uob,530631,1.37056,103.88141,4,11,228,35561
107,atm,uob,530106,1.3537138,103.8906559,4,11,186,27717
108,atm,uob,569830,1.3801192,103.8491425,4,52,251,14349
109,atm,uob,560449,1.3680573,103.8559596,4,52,163,28995
110,atm,uob,560215,1.3666063,103.8415379,4,52,329,28495
111,bank,uob,538758,1.370628,103.892276,4,11,165,28642
112,cafe,gong cha,310190,1.3329432,103.8484222,9,29,96,13865
113,clinic,drs lim & chan clinic,531002,1.3506791,103.8757569,6,21,201,36357
114,cafe,starbucks,579799,1.3496782,103.8507959,9,51,178,36404
115,dentist,ntuc health denticare,530682,1.3742216,103.8855596,6,11,228,30628
116,cafe,tiger sugar,570510,1.3489103,103.8498144,9,51,178,16447
117,pharmacy,guardian,570512,1.3496673,103.8500176,6,51,178,21338
118,atm,uob,310520,1.3329775,103.8474069,4,29,96,13883
119,restaurant,seafood paradise,918146,1.3546968,103.9891474,9,8,298,42585
120,fast_food,shiok burger,544692,1.3837171,103.8927327,9,20,250,27167
121,restaurant,wicked grill,437089,1.3047633,103.8961394,9,39,300,3319
122,restaurant,lang nuong viet nam,209261,1.312139,103.8599835,9,22,117,2759
123,atm,uob,470744,1.3375584,103.9220014,4,1,215,41649
124,atm,uob,319640,1.3363242,103.8466108,4,29,96,22531
125,atm,uob,400304,1.3297798,103.9015377,4,53,99,14176
126,restaurant,pizza hut,310085,1.3362813,103.8478807,9,29,96,22531
127,clinic,tcm clinic,348524,1.3291615,103.8733882,6,53,145,16174
128,bank,western union,569811,1.3700827,103.8493255,4,52,170,32813
129,atm,uob,322101,1.3195242,103.861137,4,22,174,305
130,atm,uob,310071,1.334182,103.852108,4,29,104,34700
131,atm,uob,563226,1.367153,103.839276,4,52,329,33906
132,atm,uob,310128,1.338186,103.8443249,4,29,210,26287
133,bicycle_parking,geylang polyclinic,389707,1.3193903,103.8873468,11,53,301,11179
