id,text,event_date,location,event,start_loc,end_loc,parent_road,cleaned_location,start_lat,start_lng,start_postal_code,start_pa_id,start_sz_id,start_rn_id,origin_lat,origin_lng,end100_a_lat,end100_a_lng,end100_b_lat,end100_b_lng,end_lat,end_lng,end_postal_code,end_pa_id,end_sz_id,end_rn_id,origin_rn_id,origin_pa_id,origin_sz_id,start_rn_id2,start_pa_id3,start_sz_id4,end_rn_id5,end_pa_id6,end_sz_id7,end100_a_rn_id,end100_a_pa_id,end100_a_sz_id,end100_b_rn_id,end100_b_pa_id,end100_b_sz_id
23,,13/11/2014,YISHUN MRT,flash_flood,,,,,1.429525,103.834995,769093,55,316,15332,1.429507458,103.8352681,1.428604784,103.8352133,1.4303601,103.8352969,,,,0,0,0,15332,55,219,15332,55,219,,,,15332,55,219,15378,55,219
24,,13/11/2014,SEMBAWANG SHOPPING CENTRE,flash_flood,,,,,1.441853,103.82497,758459,19,323,22894,1.441406997,103.8251215,1.4414052,103.8251162,1.4416112,103.825632,,,,0,0,0,22894,19,323,22894,19,323,,,,22956,19,323,22894,19,323
25,,13/11/2014,TAN HENG LEE BUILDING,flash_flood,,,,,1.332819,103.884451,369610,29,192,13554,1.332851657,103.8846111,1.3326585,103.8846505,1.333737531,103.8844303,,,,0,0,0,13554,29,192,13554,29,192,,,,13553,29,192,13554,29,192
26,,13/11/2014,LORONG GAMBIR,flash_flood,,,,,1.345476,103.875567,556140,21,201,26568,1.345490134,103.8755887,1.3459374,103.8753266,1.3452186,103.875769,,,,0,0,0,26568,21,201,26568,21,201,,,,26567,21,201,22563,21,201
27,,13/11/2014,LORONG ONG LYE,flash_flood,,,,,1.347784,103.879043,534965,21,201,18578,1.347785494,103.8790502,1.346890095,103.87915,1.3478317,103.8790407,,,,0,0,0,18576,21,201,18576,21,201,,,,18576,21,201,18574,21,201
28,,17/11/2014,LORONG GAMBIR,flash_flood,,,,,1.345476,103.875567,556140,21,201,26568,1.345490134,103.8755887,1.3459374,103.8753266,1.3452186,103.875769,,,,0,0,0,26568,21,201,26568,21,201,,,,26567,21,201,22563,21,201
29,,17/11/2014,LORONG ONG LYE,flash_flood,,,,,1.347784,103.879043,534965,21,201,18578,1.347785494,103.8790502,1.346890095,103.87915,1.3478317,103.8790407,,,,0,0,0,18576,21,201,18576,21,201,,,,18576,21,201,18574,21,201
30,,17/11/2014,63139 (BUS STOP),flash_flood,,,,,1.361202,103.891412,532373,11,186,27379,1.36119376,103.891413,1.361299671,103.8923054,1.3611535,103.891072,,,,0,0,0,27379,11,186,27379,11,186,,,,27379,11,186,16440,11,186
31,,17/11/2014,HOUGANG AVE 1,flash_flood,,,,,1.353703,103.890681,530106,11,186,27717,1.353542584,103.8910534,1.352712858,103.8906959,1.35437231,103.8914108,,,,0,0,0,27717,11,158,27717,11,158,,,,27717,11,158,27717,11,158
32,,17/11/2014,MACPHERSON ROAD,flash_flood,,,,,1.328704,103.872121,348741,53,145,16166,1.328864288,103.8720667,1.3290461,103.8726032,1.328652,103.8714405,,,,0,0,0,16166,29,100,16166,29,100,,,,16165,29,100,16161,29,100
