amenity_id,amenity_type,amenity_name,road_name,postal_code,geom_type,lon,lat,source_file,Shape__Area,Shape__Length,geometry_wkt,geometry_geojson,amenity_category,amenity_priority,amenity_weight,importance_score,importance_label,planning_area,subzone,geometry_type,geometry_coordinates,nearest_road_1_id,nearest_road_1_name,nearest_road_2_id,nearest_road_2_name,nearest_road_3_id,nearest_road_3_name,nearest_road_4_id,nearest_road_4_name,amenity_planning_area_id,amenity_subzone_id,nearest_road_1_rn_id,nearest_road_1_planning_area_id,nearest_road_1_subzone_id,nearest_road_2_rn_id,nearest_road_2_planning_area_id,nearest_road_2_subzone_id,nearest_road_3_rn_id,nearest_road_3_planning_area_id,nearest_road_3_subzone_id,nearest_road_4_rn_id,nearest_road_4_planning_area_id,nearest_road_4_subzone_id
5aa0e9ff-a5b9-550d-a4b4-55cf79f90310,bus_stops,,,,Point,103.859817907987,1.39090272938489,bus_stops.geojson,,,POINT (103.859818 1.390903),"{""coordinates"": [103.859817907987, 1.39090272938489], ""type"": ""Point""}",transport_services,2.0,4.0,8.0,High,SENGKANG,SENGKANG WEST,Point,"[103.859817907987, 1.39090272938489]",13517,TAMARIND ROAD,5093,BEGONIA TERRACE,5454,BEGONIA CRESCENT,36855,SARACA PLACE,20.0,238.0,13517,21,249,5093,21,249,5454,21,249,36855,21,249
744ee3a3-9cc4-5a0d-b2ee-ee900b742170,bus_stops,,,,Point,103.962030992291,1.35221354497426,bus_stops.geojson,,,POINT (103.962031 1.352214),"{""coordinates"": [103.962030992291, 1.35221354497426], ""type"": ""Point""}",transport_services,2.0,4.0,8.0,High,TAMPINES,TAMPINES EAST,Point,"[103.962030992291, 1.35221354497426]",1179,TAMPINES STREET 33,9609,JALAN MAYAANAM,15851,TAMPINES STREET 34,2106,JALAN KUANG,47.0,185.0,1179,47,185,9609,14,187,15851,47,185,2106,47,196
99dfece2-a9c4-500c-8b95-4f499d2a7274,stadiums,,,,Polygon,103.87900008607366,1.30530937223126,stadiums.geojson,1722.672990977764,166.0915488531057,"POLYGON ((103.878755 1.305409, 103.879085 1.305561, 103.879245 1.30521, 103.878915 1.305058, 103.878755 1.305409))","{""coordinates"": [[[103.878755499438, 1.30540921039967], [103.879084806048, 1.30556096036806], [103.879244672696, 1.30520953406285], [103.878915366124, 1.30505778411382], [103.878755499438, 1.30540921039967]]], ""type"": ""Polygon""}",community_spaces,4.0,2.0,1.0,,KALLANG,TANJONG RHU,Point,"[103.87900008607366, 1.30530937223126]",27832,STADIUM BOULEVARD,6556,STADIUM CRESCENT,7563,JALAN BENAAN KAPAL,8239,STADIUM WALK,22.0,71.0,27832,22,71,6556,22,71,7563,22,71,8239,22,71
